ds,y
2025-06-01,9842
2025-06-02,8997
2025-06-03,7765
2025-06-04,9254
2025-06-05,7935
2025-06-06,7535
2025-06-07,8928
2025-06-08,7895
2025-06-09,7518
2025-06-10,6890
2025-06-11,8789
2025-06-12,7470
2025-06-13,7717
2025-06-14,8729
2025-06-15,8902
2025-06-16,8379
2025-06-17,7568
2025-06-18,8005
2025-06-19,7341
2025-06-20,7281
2025-06-21,10159
2025-06-22,9287
2025-06-23,6824
2025-06-24,8146
2025-06-25,7500
2025-06-26,8040
2025-06-27,7838
2025-06-28,10697
2025-06-29,8704
2025-06-30,2575
2025-07-01,1123
2025-07-02,3044
2025-07-03,2363
2025-07-04,3041
2025-07-05,2319
2025-07-06,2715
2025-07-07,1755
2025-07-08,8679
2025-07-09,7314
2025-07-10,8680
2025-07-11,7887
2025-07-12,9965
2025-07-13,8807
2025-07-14,7179
2025-07-15,8282
2025-07-16,7909
2025-07-17,6982
2025-07-18,7473
2025-07-19,9532
2025-07-20,11078
2025-07-21,8124
2025-07-22,6838
2025-07-23,9021
2025-07-24,8005
2025-07-25,7511
2025-07-26,10715
2025-07-27,9769
2025-07-28,8280
2025-07-29,9228
2025-07-30,1000
2025-07-31,1000
2025-08-01,1000
2025-08-02,10426
2025-08-03,9567
2025-08-04,7352
2025-08-05,8141
2025-08-06,8214
2025-08-07,7974
2025-08-08,7416
2025-08-09,9837
2025-08-10,9505
2025-08-11,8256
2025-08-12,8317
2025-08-13,7807
2025-08-14,8004
2025-08-15,8935
2025-08-16,9228
2025-08-17,10159
2025-08-18,9039
2025-08-19,7191
2025-08-20,7479
2025-08-21,8315
2025-08-22,8501
2025-08-23,10556
2025-08-24,11926
2025-08-25,7057
2025-08-26,8200
2025-08-27,8617
2025-08-28,4435
2025-08-29,36896
2025-08-30,5304
2025-08-31,9792
2025-09-01,7531
2025-09-02,7577
2025-09-03,8438
2025-09-04,9071
2025-09-05,6798
2025-09-06,10117
2025-09-07,11453
2025-09-08,8796
2025-09-09,8832
2025-09-10,8114
2025-09-11,7441
2025-09-12,7741
2025-09-13,10604
2025-09-14,9403
2025-09-15,8152
2025-09-16,7607
2025-09-17,7842
2025-09-18,7648
2025-09-19,7766
2025-09-20,11468
2025-09-21,7954
2025-09-22,7943
2025-09-23,7478
2025-09-24,8649
2025-09-25,7146
2025-09-26,7453
2025-09-27,11074
2025-09-28,8858
